Model,Accuracy,F1 Score,Precision,Recall,ROC-AUC,TP,FP,TN,FN,Duration (seconds),Parameters
Naive Bayes kbest k:5,1501.57.00,519.40.00,676.58.00,421.41.00,1512.45.00,2273,3323,89221,6711,0.26,
XGBoost kbest k:5,1601.20.00,1358.41.00,1165.30.00,1628.38.00,1632.17.00,8779,3775,88769,205,1.18,
Logistic Regression kbest k:10,1519.41.00,463.57.00,840.38.00,320.23.00,1529.43.00,1727,1697,90847,7257,1.07,
Decision Tree kbest k:10,1581.00.00,1195.30.00,1164.24.00,1228.18.00,1592.42.00,6621,2856,89688,2363,0.48,
Random Forest kbest k:10,1588.22.00,1259.51.00,1165.56.00,1370.13.00,1631.50.00,7386,3172,89372,1598,10.29,
Gradient Boosting Machines kbest k:10,1603.08.00,1371.02.00,1165.24.00,1664.49.00,1631.50.00,8974,3860,88684,10,19.05,
k-Nearest Neighbors kbest k:10,1583.46.00,1227.40.00,1155.07.00,1309.55.00,1620.16.00,7061,3127,89417,1923,22.54,
Neural Networks kbest k:10,1602.30.00,1365.55.00,1166.53.00,1646.49.00,1632.21.00,8877,3802,88742,107,15.14,
Naive Bayes kbest k:10,705.04.00,390.41.00,221.20.00,1663.42.00,1499.01.00,8968,58562,33982,16,0.22,
XGBoost kbest k:10,1601.17.00,1358.19.00,1165.32.00,1627.31.00,1631.47.00,8773,3772,88772,211,1.28,
Logistic Regression kbest k:15,1519.27.00,458.34.00,837.16.00,315.45.00,1529.15.00,1702,1686,90858,7282,1.29,
Decision Tree kbest k:15,1580.42.00,1193.40.00,1163.06.00,1225.53.00,1592.05.00,6608,2861,89683,2376,0.53,
Random Forest kbest k:15,1588.00.00,1257.28.00,1164.57.00,1365.57.00,1631.48.00,7363,3171,89373,1621,10.21,
Gradient Boosting Machines kbest k:15,1603.09.00,1371.06.00,1165.29.00,1664.49.00,1632.02.00,8974,3859,88685,10,22.04,
k-Nearest Neighbors kbest k:15,1577.46.00,1188.16.00,1134.20.00,1247.35.00,1612.36.00,6725,3156,89388,2259,49.37.00,
Neural Networks kbest k:15,1601.50.00,1362.15.00,1165.22.00,1639.13.00,1631.47.00,8836,3801,88743,148,23.16,
Naive Bayes kbest k:15,439.42.00,322.38.00,178.38.00,1664.15.00,1491.14.00,8971,74730,17814,13,0.23,
XGBoost kbest k:15,1600.48.00,1355.00.00,1165.36.00,1617.53.00,1632.04.00,8721,3749,88795,263,1.01,
Logistic Regression kbest k:20,1519.45.00,458.03.00,841.46.00,314.38.00,1529.34.00,1696,1662,90882,7288,1.48,
Decision Tree kbest k:20,1580.48.00,1193.42.00,1164.19.00,1224.35.00,1592.56.00,6601,2848,89696,2383,0.58,
Random Forest kbest k:20,1588.06.00,1258.12.00,1165.07.00,1367.26.00,1631.47.00,7371,3173,89371,1613,11.14,
Gradient Boosting Machines kbest k:20,1603.09.00,1371.06.00,1165.29.00,1664.49.00,1632.02.00,8974,3859,88685,10,24.39.00,
k-Nearest Neighbors kbest k:20,1575.00.00,1172.06.00,1121.27.00,1227.33.00,1604.21.00,6617,3217,89327,2367,52.27.00,
Neural Networks kbest k:20,1601.54.00,1361.53.00,1166.54.00,1635.08.00,1632.28.00,8814,3775,88769,170,30.53.00,
Naive Bayes kbest k:20,505.21.00,334.23.00,186.05.00,1647.00.00,1471.36.00,8878,70638,21906,106,0.25,
XGBoost kbest k:20,1600.21.00,1352.23.00,1164.31.00,1612.30.00,1631.48.00,8692,3748,88796,292,1.1,
Logistic Regression kbest k:25,1520.23.00,464.24.00,851.23.00,319.16.00,1529.47.00,1721,1648,90896,7263,1.29,
Decision Tree kbest k:25,1581.02.00,1196.11.00,1163.53.00,1230.20.00,1593.33.00,6632,2865,89679,2352,1.03,
Random Forest kbest k:25,1588.10.00,1258.30.00,1165.30.00,1367.37.00,1631.48.00,7372,3170,89374,1612,12.02,
Gradient Boosting Machines kbest k:25,1603.09.00,1371.06.00,1165.29.00,1664.49.00,1632.06.00,8974,3859,88685,10,26.53.00,
k-Nearest Neighbors kbest k:25,1573.22.00,1160.11.00,1116.15.00,1207.42.00,1601.47.00,6510,3210,89334,2474,58.13.00,
Neural Networks kbest k:25,1599.23.00,1345.22.00,1164.52.00,1592.05.00,1631.40.00,8582,3697,88847,402,37.01.00,
Naive Bayes kbest k:25,505.53.00,334.31.00,186.10.00,1647.00.00,1459.36.00,8878,70605,21939,106,0.28,
XGBoost kbest k:25,1600.46.00,1354.29.00,1166.06.00,1615.28.00,1631.36.00,8708,3738,88806,276,1.19,
Logistic Regression kbest k:30,1520.15.00,464.52.00,849.20.00,320.01.00,1529.49.00,1725,1660,90884,7259,1.1,
Decision Tree kbest k:30,1580.44.00,1194.18.00,1162.39.00,1227.44.00,1593.29.00,6618,2869,89675,2366,1.09,
Random Forest kbest k:30,1587.55.00,1256.59.00,1164.39.00,1365.12.00,1631.43.00,7359,3172,89372,1625,13.33,
Gradient Boosting Machines kbest k:30,1603.09.00,1371.06.00,1165.29.00,1664.49.00,1632.05.00,8974,3859,88685,10,29.36.00,
k-Nearest Neighbors kbest k:30,1572.34.00,1155.41.00,1112.22.00,1202.30.00,1600.03.00,6482,3230,89314,2502,59.02.00,
Neural Networks kbest k:30,1601.43.00,1360.49.00,1166.22.00,1633.05.00,1632.06.00,8803,3776,88768,181,47.25.00,
Naive Bayes kbest k:30,511.03.00,335.35.00,186.50.00,1646.16.00,1443.58.00,8874,70286,22258,110,0.3,
XGBoost kbest k:30,1600.39.00,1353.22.00,1166.29.00,1611.34.00,1631.46.00,8687,3725,88819,297,1.37,
Logistic Regression kbest k:35,1519.59.00,461.56.00,845.25.00,317.47.00,1529.52.00,1713,1664,90880,7271,1.19,
Decision Tree kbest k:35,1581.07.00,1196.43.00,1164.24.00,1230.54.00,1593.36.00,6635,2862,89682,2349,1.18,
Random Forest kbest k:35,1588.10.00,1258.25.00,1165.37.00,1367.15.00,1631.49.00,7370,3168,89376,1614,14.03,
Gradient Boosting Machines kbest k:35,1603.08.00,1371.04.00,1165.21.00,1665.00.00,1632.04.00,8975,3861,88683,9,31.26.00,
k-Nearest Neighbors kbest k:35,1573.14.00,1159.02.00,1116.02.00,1205.29.00,1600.55.00,6498,3206,89338,2486,63.31.00,
Neural Networks kbest k:35,1598.25.00,1338.03.00,1165.36.00,1570.23.00,1631.41.00,8465,3639,88905,519,51.9,
Naive Bayes kbest k:35,524.28.00,337.18.00,188.01.00,1637.32.00,1434.02.00,8827,69422,23122,157,0.37,
XGBoost kbest k:35,1600.55.00,1356.08.00,1164.58.00,1622.20.00,1631.42.00,8745,3766,88778,239,1.39,
Logistic Regression kbest k:40,1520.01.00,459.52.00,846.01.00,315.45.00,1529.51.00,1702,1651,90893,7282,1.56,
Decision Tree kbest k:40,1581.00.00,1195.42.00,1164.07.00,1229.02.00,1592.52.00,6625,2860,89684,2359,1.19,
Random Forest kbest k:40,1588.04.00,1257.26.00,1165.51.00,1364.39.00,1631.35.00,7356,3160,89384,1628,14.51,
Gradient Boosting Machines kbest k:40,1603.09.00,1371.06.00,1165.29.00,1664.49.00,1631.57.00,8974,3859,88685,10,31.55.00,
k-Nearest Neighbors kbest k:40,1572.33.00,1154.58.00,1112.57.00,1200.17.00,1600.21.00,6470,3219,89325,2514,64.06.00,
Neural Networks kbest k:40,1597.02.00,1327.23.00,1166.42.00,1539.24.00,1631.38.00,8298,3556,88988,686,70.36.00,
Naive Bayes kbest k:40,550.50.00,341.31.00,190.49.00,1624.56.00,1408.17.00,8759,67748,24796,225,0.36,
XGBoost kbest k:40,1601.15.00,1357.05.00,1167.26.00,1620.17.00,1631.43.00,8734,3735,88809,250,1.5,
Logistic Regression rfe k:5,1515.03.00,358.49.00,757.57.00,235.03.00,1505.04.00,1267,1519,91025,7717,0.43,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 1, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Decision Tree rfe k:5,1575.18.00,1162.17.00,1136.05.00,1189.42.00,1585.37.00,6413,2995,89549,2571,0.41,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 1, 'splitter': 'best'}"
Random Forest rfe k:5,1580.03.00,1208.04.00,1136.34.00,1289.09.00,1621.50.00,6949,3241,89303,2035,11.35,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 1, 'verbose': 0, 'warm_start': False}"
Gradient Boosting Machines rfe k:5,1525.26.00,593.50.00,905.48.00,441.43.00,1588.59.00,2381,2000,90544,6603,12.17,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 1, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
XGBoost rfe k:5,1539.54.00,928.58.00,957.37.00,901.58.00,1601.25.00,4862,3600,88944,4122,1.24,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 1, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}"
Logistic Regression rfe k:5,1517.27.00,401.51.00,803.50.00,267.53.00,1500.23.00,1444,1550,90994,7540,0.39,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 1, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Decision Tree rfe k:5,1581.00.00,1195.51.00,1163.55.00,1229.36.00,1593.30.00,6628,2863,89681,2356,0.45,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 1, 'splitter': 'best'}"
Random Forest rfe k:5,1588.10.00,1258.30.00,1165.30.00,1367.37.00,1631.40.00,7372,3170,89374,1612,11.02,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 1, 'verbose': 0, 'warm_start': False}"
Gradient Boosting Machines rfe k:5,1603.08.00,1371.02.00,1165.24.00,1664.49.00,1632.09.00,8974,3860,88684,10,17.41,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 1, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
XGBoost rfe k:5,1600.56.00,1356.38.00,1164.16.00,1625.07.00,1631.46.00,8760,3780,88764,224,1.22,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 1, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}"
Logistic Regression rfe k:5,1519.12.00,462.17.00,833.35.00,319.50.00,1529.20.00,1724,1723,90821,7260,0.46,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 1, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Decision Tree rfe k:5,1581.08.00,1196.47.00,1164.32.00,1230.54.00,1593.21.00,6635,2861,89683,2349,0.43,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 1, 'splitter': 'best'}"
Random Forest rfe k:5,1588.15.00,1259.34.00,1164.55.00,1370.57.00,1631.33.00,7390,3183,89361,1594,11.24,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 1, 'verbose': 0, 'warm_start': False}"
Gradient Boosting Machines rfe k:5,1603.08.00,1371.02.00,1165.24.00,1664.49.00,1631.52.00,8974,3860,88684,10,16.7,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 1, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
XGBoost rfe k:5,1601.56.00,1362.28.00,1166.14.00,1638.06.00,1631.43.00,8830,3789,88755,154,0.9,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 1, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}"
Logistic Regression rfe k:5,1517.22.00,400.25.00,802.22.00,266.46.00,1499.25.00,1438,1549,90995,7546,0.36,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 1, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Decision Tree rfe k:5,1580.49.00,1194.04.00,1164.01.00,1225.42.00,1593.15.00,6607,2853,89691,2377,0.43,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 1, 'splitter': 'best'}"
Random Forest rfe k:5,1588.10.00,1258.37.00,1165.18.00,1368.10.00,1631.44.00,7375,3173,89371,1609,10.57,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 1, 'verbose': 0, 'warm_start': False}"
Gradient Boosting Machines rfe k:5,1603.08.00,1371.02.00,1165.24.00,1664.49.00,1631.51.00,8974,3860,88684,10,16.08,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 1, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
XGBoost rfe k:5,1601.10.00,1358.01.00,1164.37.00,1628.27.00,1631.38.00,8778,3784,88760,206,1.24,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 1, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}"
Logistic Regression rfe k:5,1517.02.00,400.23.00,797.06.00,267.20.00,1498.04.00,1441,1572,90972,7543,0.41,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 1, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Decision Tree rfe k:5,1581.00.00,1195.39.00,1164.11.00,1228.51.00,1593.26.00,6624,2859,89685,2360,0.43,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 1, 'splitter': 'best'}"
Random Forest rfe k:5,1588.13.00,1259.01.00,1165.19.00,1369.06.00,1631.46.00,7380,3175,89369,1604,10.49,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 1, 'verbose': 0, 'warm_start': False}"
Gradient Boosting Machines rfe k:5,1603.08.00,1371.02.00,1165.24.00,1664.49.00,1631.54.00,8974,3860,88684,10,16.34,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 1, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
XGBoost rfe k:5,1601.31.00,1359.52.00,1165.37.00,1631.47.00,1631.41.00,8796,3781,88763,188,1.22,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 1, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}"
Logistic Regression rfe k:10,1519.21.00,462.02.00,835.46.00,319.16.00,1529.45.00,1721,1711,90833,7263,0.47,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 1, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Decision Tree rfe k:10,1580.58.00,1195.28.00,1164.01.00,1228.40.00,1592.02.00,6623,2860,89684,2361,0.45,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 1, 'splitter': 'best'}"
Random Forest rfe k:10,1588.14.00,1259.20.00,1165.03.00,1370.13.00,1631.24.00,7386,3180,89364,1598,11.11,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 1, 'verbose': 0, 'warm_start': False}"
Gradient Boosting Machines rfe k:10,1603.08.00,1371.02.00,1165.24.00,1664.49.00,1631.57.00,8974,3860,88684,10,17.19,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 1, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
XGBoost rfe k:10,1601.42.00,1360.54.00,1166.00.00,1634.01.00,1631.54.00,8808,3782,88762,176,1.33,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 1, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}"
Logistic Regression rfe k:10,1517.07.00,409.34.00,799.24.00,275.18.00,1501.28.00,1484,1610,90934,7500,0.4,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 1, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Decision Tree rfe k:10,1580.36.00,1192.49.00,1162.59.00,1224.13.00,1592.24.00,6599,2858,89686,2385,0.48,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 1, 'splitter': 'best'}"
Random Forest rfe k:10,1588.16.00,1259.35.00,1165.05.00,1370.46.00,1631.52.00,7389,3181,89363,1595,10.47,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 1, 'verbose': 0, 'warm_start': False}"
